Time (s),Pressure (mmHg)
0.0,140.0
0.01001001001001001,139.93142017295867
0.02002002002002002,139.86289850947952
0.03003003003003003,139.79442764858842
0.04004004004004004,139.72599956937313
0.050050050050050046,139.65760561463688
0.06006006006006006,139.58923651983548
0.07007007007007007,139.52088244733312
0.08008008008008008,139.45253302597771
0.09009009009009009,139.38417739595994
0.10010010010010009,139.31580425888308
0.11011011011011011,139.24740193293192
0.12012012012012012,139.17895841298932
0.13013013013013014,139.11046143550882
0.14014014014014015,139.04189854791164
0.15015015015015015,138.97325718223513
0.16016016016016016,138.9045247327193
0.17017017017017017,138.83568863697838
0.18018018018018017,138.7667364603642
0.19019019019019018,138.697655983091
0.20020020020020018,138.62843528965303
0.21021021021021022,138.5590628600321
0.22022022022022023,138.48952766215788
0.23023023023023023,138.41981924505416
0.24024024024024024,138.34992783207394
0.2502502502502503,138.2798444136025
0.2602602602602603,138.20956083858405
0.2702702702702703,138.13906990420966
0.2802802802802803,138.0683654430881
0.2902902902902903,137.99744240721128
0.3003003003003003,137.92629694801818
0.3103103103103103,137.85492649186017
0.3203203203203203,137.78332981017124
0.3303303303303303,137.7115070836559
0.34034034034034033,137.63945995981814
0.35035035035035034,137.56719160317354
0.36036036036036034,137.4947067375082
0.37037037037037035,137.42201167957683
0.38038038038038036,137.34911436366482
0.39039039039039036,137.27602435647842
0.40040040040040037,137.2027528618699
0.41041041041041043,137.12931271495364
0.42042042042042044,137.05571836522356
0.43043043043043044,136.98198584833943
0.44044044044044045,136.90813274631435
0.45045045045045046,136.83417813590194
0.46046046046046046,136.7601425250539
0.47047047047047047,136.6860477773945
0.4804804804804805,136.61191702473542
0.4904904904904905,136.53777456773813
0.5005005005005005,136.46364576491314
0.5105105105105106,136.3895569102332
0.5205205205205206,136.3155350997233
0.5305305305305306,136.24160808748033
0.5405405405405406,136.16780413166356
0.5505505505505506,136.09415183108555
0.5605605605605606,136.02067995312086
0.5705705705705706,135.94741725373697
0.5805805805805806,135.87439229053513
0.5905905905905906,135.80163322977074
0.6006006006006006,135.7291676484007
0.6106106106106106,135.65702233227896
0.6206206206206206,135.58522307169022
0.6306306306306306,135.51379445547644
0.6406406406406406,135.44275966506638
0.6506506506506506,135.37214026977085
0.6606606606606606,135.30195602474933
0.6706706706706707,135.23222467308847
0.6806806806806807,135.162961753461
0.6906906906906907,135.09418041485148
0.7007007007007007,135.02589123984373
0.7107107107107107,134.95810207796444
0.7207207207207207,134.89081789056564
0.7307307307307307,134.82404060870738
0.7407407407407407,134.7577690054699
0.7507507507507507,134.69199858408047
0.7607607607607607,134.62672148318717
0.7707707707707707,134.56192640054533
0.7807807807807807,134.4975985363069
0.7907907907907907,134.4337195570163
0.8008008008008007,134.3702675813175
0.8108108108108109,134.30721718826987
0.8208208208208209,134.24453944905247
0.8308308308308309,134.18220198270745
0.8408408408408409,134.12016903643857
0.8508508508508509,134.0584015908334
0.8608608608608609,133.99685749022703
0.8708708708708709,133.9354915982639
0.8808808808808809,133.87425597854866
0.8908908908908909,133.81310010010617
0.9009009009009009,133.75197106719472
0.9109109109109109,133.69081387283836
0.9209209209209209,133.62957167526315
0.9309309309309309,133.5681860962406
0.9409409409409409,133.50659754016016
0.950950950950951,133.44474553247298
0.960960960960961,133.38256907597125
0.970970970970971,133.32000702319584
0.980980980980981,133.25699846309567
0.990990990990991,133.19348311990328
1.001001001001001,133.1294017620368
1.011011011011011,133.0646966186961
1.021021021021021,132.99931180168824
1.031031031031031,132.9331937298963
1.0410410410410411,132.86629155369843
1.0510510510510511,132.79855757655164
1.0610610610610611,132.7299476708759
1.0710710710710711,132.66042168531476
1.0810810810810811,132.58994384040426
1.0910910910910911,132.51848310965752
1.1011011011011012,132.44601358306656
1.1111111111111112,132.37251481003713
1.1211211211211212,132.29797211880728
1.1311311311311312,132.22237690945585
1.1411411411411412,132.14572691768402
1.1511511511511512,132.06802644665254
1.1611611611611612,131.98928656427518
1.1711711711711712,131.90952526351293
1.1811811811811812,131.8287675833739
1.1911911911911912,131.74704568850836
1.2012012012012012,131.66439890549216
1.2112112112112112,131.5808737141138
1.2212212212212212,131.49652369222315
1.2312312312312312,131.41140941295882
1.2412412412412412,131.32559829344675
1.2512512512512513,131.23916439435388
1.2612612612612613,131.15218816998444
1.2712712712712713,131.0647561689244
1.2812812812812813,130.9769606855639
1.2912912912912913,130.8888993631657
1.3013013013013013,130.8006747494856
1.3113113113113113,130.71239380629996
1.3213213213213213,130.62416737454038
1.3313313313313313,130.536109597085
1.3413413413413413,130.44833730159976
1.3513513513513513,130.3609693461638
1.3613613613613613,130.2741259307448
1.3713713713713713,130.18792787791327
1.3813813813813813,130.10249588649532
1.3913913913913913,130.01794976215768
1.4014014014014013,129.93440762919758
1.4114114114114114,129.85198512806826
1.4214214214214214,129.77079460340624
1.4314314314314314,129.69094428753925
1.4414414414414414,129.61253748463747
1.4514514514514514,129.5356717608285
